1|AIGA
2|Alpha Chi
3|American Criminal Justice Association
4|Anime Club
5|Best Buddies
6|Biology Club
7|Campus Activities Board
8|Chemistry Society
9|Club Baseball
10|Club Lacrosse
11|Club Softball
12|Club Volleyball
13|Colleges Against Cancer
14|Commuter Club
15|Dance Excel
16|Dance Team
17|Enactus
18|Equestrian Club
19|German Club
20|Gerontology Club
21|Habitat for Humanity
22|Hillel
23|Hispanic Cultural Society
24|HISPO
25|Ice Hockey
26|Inter-Varsity Christian Fellowship
27|LAMBDA: LGBT Alliance
28|NAfME
29|Newman Club
30|Peer Support Network
31|Pre-Law Society
32|Pre-Medical Society
33|PRSSA
34|Psychology Club
35|Rhapsody
36|Role Playing Games Club
37|Rugby Team
38|SAA: Student Alumni Association
39|SEA
40|Ski and Outdoor Club
41|SNAP
42|Sport Management Student Association
43|Student Senate
44|The Spartan: The York College Newspaper
45|Ultimate Frisbee
46|Unity Club
47|WVYC: The York College Radio Station
48|YCP Film Society
49|YCP for Liberty
50|YCP Improv Troupe
51|YES(York Environmental Society)
52|York College Conservative Forum
53|Other
